Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
429.5289,444.6031,427.2291,438.6683,6003.81,1941,2022-01-09,BNB,,,438.6683,438.6683
438.2523,445.454,406.9418,424.6576,11016.24,3822,2022-01-10,BNB,,,438.1188607843137,438.5288900497512
424.9602,467.8543,421.5735,463.5537,11661.16,3855,2022-01-11,BNB,,,439.11630545943865,438.7778931338333
463.3609,490.0122,456.6666,487.5212,10787.08,3422,2022-01-12,BNB,,,441.014536617892,439.2629011623524
487.4343,488.8819,466.5665,475.1412,5939.8,2579,2022-01-13,BNB,,,442.3528371426806,439.61989916073696
474.8511,492.3908,467.8404,490.1621,9732.66,3698,2022-01-14,BNB,,,444.2277101959088,440.12280663177444
490.196,501.0383,485.2471,494.5793,7722.31,2971,2022-01-15,BNB,,,446.20228234508886,440.66466228717974
494.2361,505.7146,488.6137,498.1757,5810.74,2327,2022-01-16,BNB,,,448.2404555864579,441.2369114186506
498.6478,499.0497,467.2868,475.4233,7328.69,2882,2022-01-17,BNB,,,449.3064494850282,441.57707448911185
475.5053,479.4576,457.5293,471.4668,5844.86,2173,2022-01-18,BNB,,,450.17548283855655,441.8744846932003
471.4903,472.8196,453.8626,461.8179,6443.63,2397,2022-01-19,BNB,,,450.6320482174367,442.0729266365516
461.8411,478.4564,438.3667,440.1462,9525.85,4290,2022-01-20,BNB,,,450.2208384834196,442.05375522723267
439.824,444.3848,373.8141,384.2537,17045.05,7422,2022-01-21,BNB,,,447.6338918762267,441.47863029959854
383.8152,389.2268,336.6461,358.5434,23864.13,9529,2022-01-22,BNB,,,444.14014709676684,440.65340412746326
358.6811,388.85,356.7929,384.0152,9117.69,3639,2022-01-23,BNB,,,441.7823060341486,440.0898399072895
383.9577,383.9577,336.8347,371.2886,20317.73,7512,2022-01-24,BNB,,,439.0178469739859,439.4052504554757
371.4114,387.9441,357.6248,385.0113,5116.1,3094,2022-01-25,BNB,,,436.8999431710845,438.8640171176103
385.4184,402.1944,366.8011,375.8433,8616.45,4329,2022-01-26,BNB,,,434.5055650075126,438.23694530549477
374.6869,393.5314,359.6265,389.966,5100.5,2921,2022-01-27,BNB,,,432.7589153993748,437.7566373920073
389.4803,395.0695,375.8384,385.6526,5255.46,2959,2022-01-28,BNB,,,430.91160891312484,437.2381892587535
385.66,397.0856,380.7946,389.1599,6838.24,3664,2022-01-29,BNB,,,429.27428699496306,436.75979832085545
389.3332,389.3851,372.6579,377.84,7610.32,3926,2022-01-30,BNB,,,427.2572561324155,436.1735316708967
377.324,385.3853,365.2661,375.0858,7703.57,4350,2022-01-31,BNB,,,425.2113166762423,435.56569354481815
374.6037,388.43,373.7828,384.0759,8355.13,4586,2022-02-01,BNB,,,423.59816308109555,435.05335729064086
384.8646,386.2516,366.3771,367.8006,5692.75,2868,2022-02-02,BNB,,,421.4100233524251,434.3841756260574
366.6002,372.2232,359.5801,371.9971,4299.59,2045,2022-02-03,BNB,,,419.47226165233,433.7634087044051
372.3973,403.8461,369.5295,399.713,7963.58,3970,2022-02-04,BNB,,,418.6973886463563,433.42459866754535
399.278,430.8124,396.537,413.9723,5017.65,3564,2022-02-05,BNB,,,418.51209105238155,433.23104345692303
414.6487,421.7735,407.0772,420.1851,2356.45,1950,2022-02-06,BNB,,,418.5776992464058,433.1012330742671
420.2061,438.8657,413.5233,432.6347,4440.47,3150,2022-02-07,BNB,,,419.12895417791935,433.0965909541252
433.9759,445.2686,406.5195,407.6445,4430.96,3139,2022-02-08,BNB,,,418.67858342584407,432.84333631776576
408.0173,427.7255,407.3222,422.997,3339.75,2120,2022-02-09,BNB,,,418.8479330954188,432.7453628220666
422.997,434.8323,409.8841,414.8478,7658.87,4830,2022-02-10,BNB,,,418.6910651308926,432.567277619857
413.7724,418.7152,392.7767,399.5675,2398.27,1997,2022-02-11,BNB,,,417.94112140026937,432.23892162363956
400.22,406.9043,393.5066,403.3419,1906.0,860,2022-02-12,BNB,,,417.3686029139843,431.95138907017053
402.9216,407.4244,394.966,397.9788,1870.0,931,2022-02-13,BNB,,,416.60821848598493,431.6133533580296
398.539,404.2221,390.5122,403.1774,1903.65,983,2022-02-14,BNB,,,416.08151972182867,431.33040854849696
404.1,442.0352,402.661,431.403,8716.77,3759,2022-02-15,BNB,,,416.6823620856785,431.331130851497
431.4577,433.2534,422.457,427.02,2701.9,1302,2022-02-16,BNB,,,417.08775965094605,431.288234027104
427.6887,430.9238,399.9284,402.9853,3155.2,1587,2022-02-17,BNB,,,416.53472201757563,431.00661279300346
401.9663,410.9021,392.1527,399.9981,3194.1,1466,2022-02-18,BNB,,,415.88622703649423,430.6980703771527
