Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
41696.34,42784.53,41221.57,41874.55,115.056972,4850,2022-01-09,BTC,,,41874.55,41874.55
41842.71,42225.13,39653.48,41816.54,292.533467,12451,2022-01-10,BTC,,,41872.27509803922,41873.97278606966
41840.61,43104.42,41271.84,42745.68,211.780839,7821,2022-01-11,BTC,,,41906.526270665134,41882.64648969086
42742.1,44306.78,42439.0,43904.77,166.471703,7117,2022-01-12,BTC,,,41984.88876985474,41902.767121634235
43930.4,44422.59,42322.19,42543.91,219.541583,8997,2022-01-13,BTC,,,42006.811171036905,41909.146652762254
42585.13,43441.29,41770.37,43075.54,153.185975,7963,2022-01-14,BTC,,,42048.72210550605,41920.75255671487
43062.89,43789.47,42565.65,43075.87,131.652068,5159,2022-01-15,BTC,,,42089.00241509405,41932.2462626182
43082.67,43478.57,42606.27,43070.22,188.783103,4870,2022-01-16,BTC,,,42127.48153607076,41943.5693843832
43087.26,43173.19,41553.63,42205.13,109.542755,5689,2022-01-17,BTC,,,42130.52657387191,41946.17197757342
42214.43,42681.88,41276.22,42361.58,131.986052,7051,2022-01-18,BTC,,,42139.5874925436,41950.30539073189
42364.8,42561.91,41151.51,41660.51,222.694618,9774,2022-01-19,BTC,,,42120.80013989483,41947.4218545057
41664.64,43505.05,40564.54,40690.58,241.916092,11141,2022-01-20,BTC,,,42064.713075585234,41934.915965406144
40675.63,41093.77,35450.11,36474.82,820.242503,32758,2022-01-21,BTC,,,41845.50158242503,41880.58665231753
36445.31,36832.05,34026.25,35072.22,649.453953,31462,2022-01-22,BTC,,,41579.88269683973,41812.841710503424
35083.42,36500.0,34613.26,36264.17,323.141616,14176,2022-01-23,BTC,,,41371.42337539504,41757.631046717324
36254.02,37529.16,32946.64,36638.61,848.892627,38240,2022-01-24,BTC,,,41185.82285086975,41706.695513914165
36674.79,37534.02,35698.66,36944.5,166.719889,8575,2022-01-25,BTC,,,41019.49646456113,41659.31048392497
36970.03,38899.87,36263.62,36806.1,260.837572,13403,2022-01-26,BTC,,,40854.265230656776,41611.019832343634
36721.62,37222.22,35521.43,37189.32,194.804451,8151,2022-01-27,BTC,,,40710.54188827809,41567.02281908649
37166.12,38000.0,36173.91,37745.25,117.730098,6123,2022-01-28,BTC,,,40594.25593187503,41528.99522884683
37743.43,38710.64,37304.95,38155.0,166.421527,6546,2022-01-29,BTC,,,40498.598836507386,41495.42313701751
38161.39,38367.74,37346.43,37917.6,123.075997,5437,2022-01-30,BTC,,,40397.38319586004,41459.822906798436
37937.51,38731.81,36633.56,38477.61,232.94102,9685,2022-01-31,BTC,,,40322.09797249298,41430.14914653179
38471.0,39290.74,38011.11,38694.4,294.273931,11229,2022-02-01,BTC,,,40258.26667945404,41402.92776198919
38721.1,38857.95,36596.2,36907.94,202.048585,7767,2022-02-02,BTC,,,40126.881319475455,41358.20151560124
36901.29,37354.27,36256.76,37296.17,227.736013,6688,2022-02-03,BTC,,,40015.87303243721,41317.78329156541
37333.73,41786.18,37039.57,41578.7,478.786058,13074,2022-02-04,BTC,,,40077.16036449849,41320.37947771899
41578.72,41913.84,40938.83,41413.49,182.508622,5852,2022-02-05,BTC,,,40129.56544824365,41321.30595057751
41450.64,42668.93,41125.74,42412.6,156.954855,5357,2022-02-06,BTC,,,40219.096214979196,41332.16459783544
42407.23,44502.93,41652.86,43822.1,343.48216,12704,2022-02-07,BTC,,,40360.39048105844,41356.940074473896
43854.64,45483.41,42673.45,44027.06,458.743737,13409,2022-02-08,BTC,,,40504.18144258556,41383.50843194182
44081.06,44803.47,43136.03,44382.13,266.098958,8699,2022-02-09,BTC,,,40656.25785660182,41413.34546246976
44393.58,45827.12,43182.61,43489.69,699.980349,19182,2022-02-10,BTC,,,40767.372842617435,41434.005607121806
43468.76,43916.66,41946.24,42398.13,351.878349,11356,2022-02-11,BTC,,,40831.324103691266,41443.59888466288
42366.25,43000.25,41714.68,42252.67,178.724378,4927,2022-02-12,BTC,,,40887.06315844847,41451.64934352196
42236.48,42753.36,41873.25,42032.23,100.461391,3476,2022-02-13,BTC,,,40931.97166203873,41457.42626547697
42087.0,42837.67,41563.49,42541.22,206.496837,5496,2022-02-14,BTC,,,40995.079439998,41468.210282735905
42558.44,44742.18,42446.68,44536.2,235.731616,6075,2022-02-15,BTC,,,41133.94691293926,41498.737543604206
44561.6,44561.6,43318.04,43892.43,130.720181,4625,2022-02-16,BTC,,,41242.12272027497,41522.55537899123
