Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
3081.65,3210.73,3058.62,3149.36,2039.95685,5402,2022-01-09,ETH,,,3149.36,3149.36
3147.16,3180.3,2925.96,3083.35,4270.56401,11602,2022-01-10,ETH,,,3146.77137254902,3148.703184079602
3085.13,3263.93,3052.28,3238.67,2306.87456,6750,2022-01-11,ETH,,,3150.3752402921955,3149.598376277815
3245.62,3411.07,3206.34,3369.47,2512.20157,7064,2022-01-12,ETH,,,3158.9671916532857,3151.786153628285
3369.73,3410.38,3233.35,3239.12,2628.05182,8778,2022-01-13,ETH,,,3162.110439039431,3152.655147124521
3239.22,3341.14,3189.83,3306.45,1826.23639,6974,2022-01-14,ETH,,,3167.770813979061,3154.1854441680584
3310.05,3373.62,3262.4,3326.71,1139.37656,4132,2022-01-15,ETH,,,3174.0037232347845,3155.9021064151425
3325.96,3392.39,3273.2,3345.72,1098.0345,4688,2022-01-16,ETH,,,3180.737694872636,3157.7908416746936
3347.78,3356.18,3140.75,3211.48,1738.3589,6034,2022-01-17,ETH,,,3181.943275465866,3158.3250621555426
3210.62,3243.43,3083.42,3161.51,3036.77036,8221,2022-01-18,ETH,,,3181.141970545636,3158.356753079368
3160.0,3176.03,3046.99,3082.73,3187.59148,8971,2022-01-19,ETH,,,3177.282677583062,3157.6042480736032
3086.04,3271.59,2987.82,3006.65,2888.53606,9599,2022-01-20,ETH,,,3170.5912000307853,3156.102215754463
3000.53,3033.33,2464.32,2571.06,9900.49166,25722,2022-01-21,ETH,,,3147.0801725785977,3150.280900174817
2567.77,2625.01,2301.24,2413.57,10723.913,31183,2022-01-22,ETH,,,3118.315067771594,3142.9504434566597
2412.98,2550.0,2372.22,2540.85,5581.57144,12832,2022-01-23,ETH,,,3095.6693788393745,3136.9593942680362
2540.18,2540.3,2160.06,2443.16,13287.49212,29140,2022-01-24,ETH,,,3070.0807757476346,3130.0559177081554
2440.41,2507.1,2349.95,2458.04,2397.41778,6912,2022-01-25,ETH,,,3046.079176698708,3123.3691921588206
2455.97,2721.74,2400.66,2460.91,3703.814,13221,2022-01-26,ETH,,,3023.1313658477784,3116.777558405997
2460.07,2520.33,2315.65,2425.14,2885.61299,8390,2022-01-27,ETH,,,2999.6807240498265,3109.8955926507138
2425.0,2558.11,2359.05,2546.04,2477.55887,7349,2022-01-28,ETH,,,2981.8908917341473,3104.285089241254
2544.81,2636.31,2521.11,2601.46,3639.01501,8674,2022-01-29,ETH,,,2966.9720332347692,3099.281854522436
2601.88,2639.21,2543.42,2601.06,3500.46378,8632,2022-01-30,ETH,,,2952.6225417353667,3094.3244231341528
2603.03,2706.19,2477.35,2686.83,4876.17877,10329,2022-01-31,ETH,,,2942.1993048045683,3090.269752257196
